Epoch,Train Loss,Test Loss,Teacher Ratio
0,0.001013647117709514,0.0006920028511957788,1.0
1,0.0007501884412884519,0.0007347797775703777,0.95
2,0.0007943105312600879,0.0007803813916262452,0.9
3,0.000846751393124026,0.0008608551267257149,0.85
4,0.0009040977966554701,0.0008833910614257101,0.8
5,0.0009656870291703021,0.0009591239753935078,0.75
6,0.0010388448488603222,0.0010289592643412207,0.7
7,0.0011229824121984275,0.0011026509353690348,0.65
8,0.0012171859785586377,0.0011934281781333749,0.6
9,0.0013192049143501525,0.0012940131254300514,0.55
10,0.0014430486878394338,0.0014280994365202008,0.5
11,0.0015883861769270926,0.0015560539748042577,0.44999999999999996
12,0.0017619140468647155,0.0017375552324801675,0.4
13,0.0019801669096880994,0.001962108245859197,0.35
14,0.0022635662014355764,0.0022281722633286497,0.30000000000000004
15,0.0026489154179033304,0.0026274602933161265,0.25
16,0.003215684360675592,0.003149309838213981,0.19999999999999996
17,0.004122503870925476,0.004054346157049572,0.15000000000000002
18,0.005838261282754944,0.005699418493228647,0.09999999999999998
19,0.01019364975668145,0.009892862888747123,0.050000000000000044
